frame_count,t_in_us,t_due_us,t_pub_us,published
559,36931110434,36931160434,36931160541,1
560,36931126526,36931176526,36931176742,1
561,36931143817,36931193817,36931193947,1
562,36931160137,36931210137,36931210245,1
563,36931176995,36931226995,36931227133,1
564,36931193295,36931243295,36931243594,1
565,36931209952,36931259952,36931260250,1
566,36931226749,36931276749,36931277059,1
567,36931243849,36931293849,36931293974,1
568,36931259949,36931309949,36931310229,1
569,36931277313,36931327313,36931327452,1
570,36931293406,36931343406,36931343701,1
571,36931310483,36931360483,36931360607,1
572,36931326830,36931376830,36931376924,1
573,36931343956,36931393956,36931394099,1
574,36931360052,36931410052,36931410381,1
575,36931376613,36931426613,36931426958,1
576,36931393431,36931443431,36931443622,1
577,36931410638,36931460638,36931460766,1
578,36931427216,36931477216,36931477341,1
579,36931443290,36931493290,36931493886,1
580,36931460174,36931510174,36931510517,1
581,36931476780,36931526780,36931526890,1
582,36931494143,36931544143,36931544353,1
583,36931510775,36931560775,36931560872,1
584,36931526584,36931576584,36931576935,1
585,36931543402,36931593402,36931593548,1
586,36931560112,36931610112,36931610377,1
587,36931577191,36931627191,36931627319,1
588,36931593247,36931643247,36931643544,1
589,36931610072,36931660072,36931660186,1
590,36931626896,36931676896,36931677017,1
591,36931643802,36931693802,36931693938,1
592,36931659869,36931709869,36931710179,1
593,36931676698,36931726698,36931726995,1
594,36931693298,36931743298,36931743659,1
595,36931710435,36931760435,36931760553,1
596,36931727256,36931777256,36931777503,1
597,36931743917,36931793917,36931794029,1
598,36931759980,36931809980,36931810281,1
599,36931776564,36931826564,36931826850,1
600,36931793508,36931843508,36931843645,1
601,36931810538,36931860538,36931860657,1
602,36931827105,36931877105,36931877270,1
603,36931843218,36931893218,36931893532,1
604,36931860152,36931910152,36931910353,1
605,36931876592,36931926592,36931926877,1
606,36931893789,36931943789,36931943944,1
607,36931909983,36931959983,36931960260,1
608,36931927132,36931977132,36931977243,1
609,36931943252,36931993252,36931993697,1
610,36931959950,36932009950,36932010536,1
611,36931976774,36932026774,36932027138,1
612,36931993987,36932043987,36932044163,1
613,36932010794,36932060794,36932060981,1
614,36932027397,36932077397,36932078706,1
615,36932043561,36932093561,36932093979,1
616,36932060321,36932110321,36932110449,1
617,36932077584,36932127584,36932127785,1
618,36932093518,36932143518,36932143666,1
619,36932110074,36932160074,36932160288,1
620,36932126748,36932176748,36932176887,1
621,36932143332,36932193332,36932193633,1
622,36932159957,36932209957,36932210254,1
623,36932176544,36932226544,36932226947,1
624,36932193887,36932243887,36932244018,1
625,36932210507,36932260507,36932260700,1
626,36932227204,36932277204,36932277307,1
627,36932243260,36932293260,36932293579,1
628,36932260024,36932310024,36932310316,1
629,36932276723,36932326723,36932327033,1
630,36932293874,36932343874,36932344006,1
631,36932309995,36932359995,36932360279,1
632,36932327327,36932377327,36932377434,1
633,36932343418,36932393418,36932393690,1
634,36932360534,36932410534,36932410635,1
635,36932376730,36932426730,36932427015,1
636,36932393342,36932443342,36932443630,1
637,36932410043,36932460043,36932460269,1
638,36932427271,36932477271,36932477389,1
639,36932443885,36932493885,36932494026,1
640,36932459941,36932509941,36932510221,1
641,36932476778,36932526778,36932526935,1
642,36932493394,36932543394,36932543577,1
643,36932510476,36932560476,36932560672,1
644,36932526609,36932576609,36932577068,1
645,36932543238,36932593238,36932593579,1
646,36932559903,36932609903,36932610149,1
647,36932577342,36932627342,36932627679,1
648,36932593872,36932643872,36932643972,1
649,36932610405,36932660405,36932660606,1
650,36932626743,36932676743,36932677009,1
651,36932643308,36932693308,36932693632,1
652,36932660010,36932710010,36932710373,1
653,36932676664,36932726664,36932726961,1
654,36932693278,36932743278,36932743555,1
655,36932710670,36932760670,36932760910,1
656,36932727218,36932777218,36932777325,1
657,36932743851,36932793851,36932794072,1
658,36932759932,36932809932,36932810206,1
659,36932776743,36932826743,36932827031,1
660,36932793424,36932843424,36932843702,1
661,36932810460,36932860460,36932860718,1
662,36932827291,36932877291,36932877512,1
663,36932843956,36932893956,36932894110,1
664,36932860024,36932910024,36932910286,1
665,36932876574,36932926574,36932926887,1
666,36932893331,36932943331,36932943596,1
667,36932909956,36932959956,36932960232,1
668,36932927142,36932977142,36932977264,1
669,36932943253,36932993253,36932993531,1
670,36932960486,36933010486,36933010586,1
671,36932976662,36933026662,36933026958,1
672,36932993785,36933043785,36933043890,1
673,36933009908,36933059908,36933060297,1
674,36933027212,36933077212,36933077317,1
675,36933043330,36933093330,36933093618,1
676,36933060553,36933110553,36933110649,1
677,36933076742,36933126742,36933126959,1
678,36933093873,36933143873,36933143999,1
679,36933109953,36933159953,36933160234,1
680,36933126654,36933176654,36933177025,1
681,36933143216,36933193216,36933193554,1
682,36933160488,36933210488,36933210594,1
683,36933177282,36933227282,36933227390,1
684,36933193846,36933243846,36933244018,1
685,36933209940,36933259940,36933260222,1
686,36933226625,36933276625,36933276914,1
687,36933243426,36933293426,36933293632,1
688,36933260477,36933310477,36933310603,1
689,36933277169,36933327169,36933327405,1
690,36933293272,36933343272,36933343620,1
691,36933310252,36933360252,36933360375,1
692,36933326701,36933376701,36933376986,1
693,36933343875,36933393875,36933394004,1
694,36933360061,36933410061,36933410308,1
695,36933377242,36933427242,36933427364,1
696,36933393293,36933443293,36933443580,1
697,36933410009,36933460009,36933460243,1
698,36933426815,36933476815,36933477107,1
699,36933443835,36933493835,36933493949,1
700,36933459922,36933509922,36933510152,1
701,36933477364,36933527364,36933527521,1
702,36933493440,36933543440,36933543800,1
703,36933510407,36933560407,36933560531,1
704,36933526721,36933576721,36933576875,1
705,36933544098,36933594098,36933594239,1
706,36933560181,36933610181,36933610401,1
707,36933576566,36933626566,36933626874,1
